names,ages,minutes
Santi Mina,25,"2,367"
Óscar Mingueza,22,894
Rafa Mir,24,"1,808"
Jorge Miramón,32,"1,977"
Juan Miranda,21,783
Stefan Mitrović,31,"2,667"
Luka Modrić,35,"2,032"
Johan Mojica,28,"2,855"
Jorge Molina,39,"1,966"
Jon Moncayola,23,"2,915"
Monchu,21,668
Gonzalo Montiel,24,"1,066"
Ángel Montoro,33,"1,331"
Martín Montoya,30,518
Jon Morcillo,22,54
Alberto Moreno,29,"1,223"
Álex Moreno,28,"2,404"
Gerard Moreno,29,"1,191"
Tete Morente,24,"1,632"
Ilaix Moriba,18,818
Manu Morlanes,22,"1,144"
Loren Morón,27,563
Loren Morón,27,4
Cristhian Mosquera,17,212
Toni Moya,23,"1,386"
Iker Muniain,28,"2,785"
Aihen Muñoz,23,"1,342"
Jeison Murillo,29,"1,117"
Vedat Muriqi,27,"1,438"
Yunus Musah,18,"1,259"
Shkodran Mustafi,29,658
Nacho,31,"1,555"
Roberto Navarro,19,199
Ximo Navarro,31,"1,347"
Jesús Navas,35,"1,786"
Álvaro Negredo,35,"2,157"
Neto,32,270
Carlos Neva,25,"2,108"
Saúl Ñíguez,26,201
Fernando Niño,20,884
Peru Nolaskoain,22,1
Nolito,34,"1,384"
Randy Nteka,23,"1,462"
Unai Núñez,24,622
Allan Nyom,33,244
Jan Oblak,28,"3,420"
Lucas Ocampos,27,"2,125"
Lucas Olaza,27,295
Oier Olazábal,31,135
Brian Oliván,27,"2,189"
Mathías Olivera,23,"2,803"
Javier Ontiveros,23,39
Pedro Ortiz,20,7
Milutin Osmajić,22,257
Jesús Owono,20,90
Mikel Oyarzabal,24,"1,671"
Fernando Pacheco,29,"3,053"
Jon Pacheco,20,381
Helibelton Palacios,28,"1,931"
Isaac Palazón Camacho,26,"2,288"
Daniel Parejo,32,"2,704"
Raúl Parra,21,88
Javier Pastore,32,525
Gabriel Paulista,30,"1,592"
Alfonso Pedraza,25,"1,701"
Pedri,18,885
Adrià Pedrosa,23,"2,720"
Facundo Pellistri,19,672
Rubén Peña,30,132
Alberto Perea,30,777
Iñigo Pérez,33,338
Juan Pérez,25,180
Kike Pérez,24,519
Lucas Pérez,32,"1,266"
Lucas Pérez,32,"1,060"
Njegoš Petrović,22,918
Alex Petxa,24,412
Germán Pezzella,30,"1,988"
Pablo Piatti,32,312
Cristiano Piccini,28,322
Tomás Pina,33,"1,444"
Orbelín Pineda,25,99
Yeremi Pino,18,"1,678"
Gerard Piqué,34,"2,092"
Ezequiel Ponce,24,667
Pere Pons,28,"1,366"
Portu,29,"1,590"
Sergio Postigo,32,848
Darío Poveda,24,380
José Pozo,25,72
Abdón Prats,28,641
Alejandro Primo,17,90
Javi Puado,23,"2,245"
Marc Pubill,18,512
Antonio Puertas,29,"2,261"
